Country,Tree Cover Loss (ha),Tree Cover Loss (mha),Rate of loss per year (%),REDD+ phase 1 and 2 finance (USD million),Development finance (USD million),Results-based REDD+ finance commitments (USD million),Results-based REDD+ finance disbursements (USD million),Results-based REDD+ finance commitments (USD million) - bilateral,Results-based REDD+ finance disbursements (USD) - bilateral,FCPF Carbon Fund commitments based on LoIs and average price of 5USD,BioCarbon Fund ISFL,REDD+ phase 1 and 2 bilateral finance (USD million commitments/disbursements),REDD+ phase 1 and 2 bilateral finance (commitments/disbursements?),REDD+ phase 1 and 2 finance commitments (USD million) - multilateral
Afghanistan,244,0.000244,0.0002,0,0,0,0,,,,,0,,
Albania,11145,0.011145,0.0029,0,6,0,0,,,,,0,,
Algeria,44019,0.044019,0.006,0,0,0,0,,,,,0,,
Andorra,17,0.000017,0.0001,0,,0,0,,,,,0,,
Angola,1067688,1.067688,0.0032,0,5,0,0,,,,,0,,
Antigua and Barbuda,133,0.000133,0.0012,0,,0,0,,,,,0,,
Argentina,2188708,2.188708,0.0093,8,89,0,0,,,,,0,,8
Armenia,616,0.000616,0.0003,0,4,0,0,,,,,0,,
Azerbaijan,1799,0.001799,0.0002,0,,0,0,,,,,0,,
Bahamas,4960,0.00496,0.0027,0,,0,0,,,,,0,,
Bangladesh,45689,0.045689,0.0039,2,4,0,0,,,,,0,,2
Barbados,162,0.000162,0.0051,0,,0,0,,,,,0,,
Belize,92788,0.092788,0.0088,4,,0,0,,,,,0,,4
Benin,7319,0.007319,0.0072,0,0,0,0,,,,,0,,
Bhutan,8672,0.008672,0.0006,4.570465,3,0,0,,,,,0.570465,570465,4
Bolivia,1658542,1.658542,0.0043,1,22,0,0,,,,,0,,1
Bosnia and Herzegovina,9259,0.009259,0.0006,0,,0,0,,,,,0,,
Botswana,97,0.000097,0.0008,0,3,0,0,,,,,0,,
Brazil,14392306,14.392306,0.0046,93,247,1167,1141,1167,1141,,,0,,93
Brunei,10298,0.010298,0.0032,0,,0,0,,,,,0,,
Burkina Faso,23,0.000023,0.0289,42,18,0,0,,,,,0,,42
Burundi,8648,0.008648,0.0027,0,0,0,0,,,,,0,,
Cambodia,1110207,1.110207,0.021,12.86316,8,0,0,,,,,0.86316,863160,12
Cameroon,482345,0.482345,0.0026,6.8,89,57.5,0,,,57.5,,2.8,2800000,4
Cape Verde,40,0.00004,0.0009,0,,0,0,,,,,0,,
Central African Republic,284501,0.284501,0.001,4,1,0,0,,,,,0,,4
Chad,12153,0.012153,0.0049,0,12,0,0,,,,,0,,
Chile,693339,0.693339,0.006,10.9047,1,26,0,,,26,,1.9047,1904700,9
China,3294610,3.29461,0.0034,0,290,0,0,,,,,0,,
